gene_id	gene_short_name	locus	FPKM	TPM	ln(TPM)
CV702_RS11460	-	NZ_CP024954.1:2358736-2359021	16.8633	8.259566071	2.111372052
CV702_RS01955	-	NZ_CP024954.1:388901-391256	16.8788	8.267157899	2.112290786
CV702_RS01135	dhaS	NZ_CP024954.1:222168-222711	17.0255	8.339010878	2.12094461
CV702_RS05880	-	NZ_CP024954.1:1243859-1244570	17.0698	8.360708812	2.12354321
CV702_RS08290	-	NZ_CP024954.1:1745165-1746059	17.1865	8.417867931	2.130356581
CV702_RS02855	-	NZ_CP024954.1:556448-557120	17.4655	8.554520836	2.146459896
CV702_RS05030	-	NZ_CP024954.1:1036820-1037270	17.4814	8.562308582	2.147369848
CV702_RS08295	-	NZ_CP024954.1:1746118-1747645	17.5726	8.606977919	2.15257326
CV702_RS12210	-	NZ_CP024954.1:2165164-2166100	17.8124	8.724430846	2.166127233
CV702_RS04875	-	NZ_CP024954.1:1002807-1003212	17.8497	8.742700212	2.168219091
CV702_RS06220	metE	NZ_CP024954.1:1316331-1318605	17.8823	8.758667541	2.170043786
CV702_RS08440	-	NZ_CP024954.1:1781226-1781832	17.963	8.798194027	2.174546476
CV702_RS07840	asp1	NZ_CP024954.1:1654638-1656222	17.9823	8.807647077	2.17562033
CV702_RS01600	-	NZ_CP024954.1:311903-312251	18.1866	8.907712269	2.186917449
CV702_RS09265	oppD	NZ_CP024954.1:1957219-1958235	18.324	8.975010151	2.194444065
CV702_RS12120	-	NZ_CP024954.1:1289287-1289560	18.5696	9.095303891	2.207758224
CV702_RS05620	niaX	NZ_CP024954.1:1155000-1155600	18.6028	9.111565097	2.209544496
CV702_RS05130	-	NZ_CP024954.1:1057367-1059275	18.6573	9.138258944	2.21246988
CV702_RS00485	-	NZ_CP024954.1:93671-93992	18.8151	9.215548652	2.220892128
CV702_RS09040	-	NZ_CP024954.1:1902650-1903337	18.8256	9.220691503	2.221450035
CV702_RS07020	-	NZ_CP024954.1:1478258-1478591	18.8631	9.239058829	2.223440022
CV702_RS02685	-	NZ_CP024954.1:522913-524419	18.9783	9.295483254	2.229528611
CV702_RS03480	-	NZ_CP024954.1:698995-699862	18.9875	9.299989371	2.230013257
CV702_RS12215	-	NZ_CP024954.1:2166159-2167143	19.0533	9.332217906	2.233472704
CV702_RS12130	-	NZ_CP024954.1:1300090-1300483	19.0782	9.34441381	2.234778711
CV702_RS06455	-	NZ_CP024954.1:1368923-1369520	19.0839	9.347205644	2.235077437
CV702_RS02950	-	NZ_CP024954.1:583826-584858	19.2566	9.431793302	2.244086248
CV702_RS06170	glpO	NZ_CP024954.1:1301377-1303207	19.5554	9.578144156	2.259483853
CV702_RS08650	-	NZ_CP024954.1:1822962-1823859	19.6977	9.647842035	2.266734267
CV702_RS06085	-	NZ_CP024954.1:1287713-1288223	19.953	9.77288679	2.279611897
CV702_RS10415	-	NZ_CP024954.1:2167148-2167475	20.3653	9.974829417	2.300064862
CV702_RS01175	-	NZ_CP024954.1:228558-229701	20.6523	10.11540068	2.314059083
CV702_RS09260	oppF	NZ_CP024954.1:1956263-1957223	20.6653	10.12176802	2.314688355
CV702_RS02860	-	NZ_CP024954.1:557122-558196	20.8426	10.20860874	2.323231359
CV702_RS01030	-	NZ_CP024954.1:205589-206093	20.9428	10.25768624	2.328027301
CV702_RS08155	-	NZ_CP024954.1:1715232-1715931	21.0386	10.30460863	2.332591235
CV702_RS07845	-	NZ_CP024954.1:1656221-1657448	21.0585	10.31435556	2.333536668
CV702_RS06005	leuC	NZ_CP024954.1:1268668-1270051	21.073	10.32145759	2.33422499
CV702_RS09285	-	NZ_CP024954.1:1960415-1960964	21.0891	10.3293433	2.334988709
CV702_RS08980	-	NZ_CP024954.1:1891446-1891740	21.1329	10.35079633	2.337063457
CV702_RS07805	-	NZ_CP024954.1:1645013-1645973	21.272	10.41892687	2.343624043
CV702_RS01450	-	NZ_CP024954.1:283973-284447	21.351	10.4576207	2.347330966
CV702_RS06895	-	NZ_CP024954.1:1460695-1464784	21.7265	10.64153886	2.364765103
CV702_RS10330	-	NZ_CP024954.1:2150571-2152449	21.8366	10.69546533	2.36981985
CV702_RS06700	-	NZ_CP024954.1:1418309-1419674	22.0769	10.81316315	2.380764202
CV702_RS06145	-	NZ_CP024954.1:1297351-1298368	22.1034	10.82614273	2.381963832
CV702_RS08280	-	NZ_CP024954.1:1742803-1743754	22.2668	10.90617529	2.389329169
CV702_RS09915	-	NZ_CP024954.1:2068648-2070088	22.4839	11.01250986	2.399031887
CV702_RS11115	-	NZ_CP024954.1:2301069-2301915	22.51	11.02529352	2.400192044
CV702_RS10985	-	NZ_CP024954.1:2271007-2271817	22.559	11.04929349	2.402366489
CV702_RS10215	-	NZ_CP024954.1:2128478-2129102	22.681	11.10904853	2.407759959
CV702_RS04480	-	NZ_CP024954.1:923986-924508	23.1011	11.31481156	2.426112625
CV702_RS11410	-	NZ_CP024954.1:2350883-2351207	23.3707	11.44686039	2.43771549
CV702_RS05280	-	NZ_CP024954.1:1082281-1082779	23.5025	11.51141542	2.443339188
CV702_RS04630	-	NZ_CP024954.1:955467-956667	23.5726	11.54575007	2.44631741
CV702_RS05045	ribD	NZ_CP024954.1:1041418-1042507	23.7269	11.62132549	2.452841815
CV702_RS07215	-	NZ_CP024954.1:1510037-1513331	24.2727	11.8886558	2.475584651
CV702_RS08330	-	NZ_CP024954.1:1755235-1756714	24.4082	11.95502307	2.481151531
CV702_RS08970	-	NZ_CP024954.1:1889976-1891125	24.5031	12.00150465	2.48503203
CV702_RS02150	-	NZ_CP024954.1:431302-431782	24.7044	12.10010046	2.493213755
CV702_RS07025	-	NZ_CP024954.1:1478695-1479106	24.7323	12.11376575	2.494342471
CV702_RS02710	-	NZ_CP024954.1:528047-528770	24.9397	12.2153493	2.502693301
CV702_RS04695	abc-f	NZ_CP024954.1:967487-968938	25.7139	12.59454887	2.533264091
CV702_RS04575	-	NZ_CP024954.1:941782-944188	25.7587	12.6164917	2.535004824
CV702_RS05270	-	NZ_CP024954.1:1080139-1081462	25.7664	12.62026313	2.535303707
CV702_RS11300	-	NZ_CP024954.1:2338792-2339029	25.8648	12.66845899	2.53911536
CV702_RS10865	comGG	NZ_CP024954.1:2243778-2244063	25.9179	12.69446712	2.541166239
CV702_RS04610	-	NZ_CP024954.1:950385-950961	25.9337	12.70220589	2.541775671
CV702_RS10445	-	NZ_CP024954.1:2171006-2171672	26.0667	12.76734867	2.546891027
CV702_RS06715	-	NZ_CP024954.1:1422044-1422599	26.1669	12.81642617	2.550727643
CV702_RS10225	-	NZ_CP024954.1:2130797-2131997	26.2502	12.85722612	2.553905997
CV702_RS10335	-	NZ_CP024954.1:2152512-2153181	26.5451	13.00166677	2.565077563
CV702_RS02215	-	NZ_CP024954.1:443376-444186	26.5545	13.00627085	2.565431614
CV702_RS05115	radC	NZ_CP024954.1:1055155-1055836	26.7128	13.08380546	2.571375241
CV702_RS06230	mgtA	NZ_CP024954.1:1319507-1322240	26.9571	13.20346246	2.580479103
CV702_RS12025	-	NZ_CP024954.1:200709-201039	27.1131	13.27987054	2.586249395
CV702_RS02955	-	NZ_CP024954.1:584862-586083	27.1139	13.28026237	2.586278901
CV702_RS09255	oppB	NZ_CP024954.1:1955323-1956283	27.3584	13.40001734	2.595256001
CV702_RS00405	-	NZ_CP024954.1:78367-79301	27.8126	13.62248239	2.611721545
CV702_RS08495	-	NZ_CP024954.1:1792303-1792606	28.2537	13.83853112	2.627456812
CV702_RS09170	-	NZ_CP024954.1:1937556-1938906	28.2543	13.838825	2.627478048
CV702_RS06780	yoaB	NZ_CP024954.1:1437107-1439744	28.2809	13.85185356	2.628419055
CV702_RS03945	-	NZ_CP024954.1:798477-799194	28.7026	14.05840026	2.6432201
CV702_RS06885	-	NZ_CP024954.1:1455651-1459155	28.869	14.13990221	2.649000744
CV702_RS06955	-	NZ_CP024954.1:1470341-1471535	29.1792	14.29183673	2.659688516
CV702_RS02635	-	NZ_CP024954.1:513972-514437	29.2661	14.33439994	2.662662239
CV702_RS10455	-	NZ_CP024954.1:2172795-2173287	29.2891	14.34566524	2.663447823
CV702_RS05060	ribE	NZ_CP024954.1:1044389-1044854	29.363	14.38186111	2.665967768
CV702_RS05375	-	NZ_CP024954.1:1103222-1104689	29.4136	14.40664476	2.667689542
CV702_RS10875	comGE	NZ_CP024954.1:2244510-2244807	29.4697	14.43412228	2.669595006
CV702_RS03090	-	NZ_CP024954.1:619096-619633	29.5756	14.48599161	2.673182086
CV702_RS03265	-	NZ_CP024954.1:647763-649767	29.6116	14.50362424	2.674398566
CV702_RS06015	-	NZ_CP024954.1:1270659-1271439	29.627	14.51116709	2.674918497
CV702_RS09245	-	NZ_CP024954.1:1952515-1954294	29.7927	14.59232618	2.680495786
CV702_RS10070	-	NZ_CP024954.1:2101165-2101633	29.8035	14.59761597	2.680858226
CV702_RS02605	-	NZ_CP024954.1:509516-510086	29.9662	14.67730567	2.686302469
CV702_RS05125	-	NZ_CP024954.1:1056797-1057190	29.9892	14.68857097	2.687069706
CV702_RS04515	-	NZ_CP024954.1:931132-932653	30.0798	14.73294643	2.69008624
CV702_RS01790	-	NZ_CP024954.1:355411-356356	30.3519	14.86621974	2.699091508
CV702_RS12310	-	NZ_CP024954.1:936083-936581	30.4104	14.89487277	2.701017045
